Gene,ChineseAmber,Leoti,pi229841,pi297155,pi300119,pi329311,pi506069,pi510757,pi655972,Rio,tx430,btx623,Grassl
3381.casb001g002880.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g002960.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g003070.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g003160.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g003270.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g003430.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g003700.635,0,0,0,0,0,0,0,0,0,0,1,1,0
3381.casb001g003730.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g003740.635,1,1,1,1,1,1,1,1,0,1,1,0,0
3381.casb001g003810.635,0,0,0,0,0,1,0,0,0,0,1,1,1
3381.casb001g003860.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g004070.635_3381.casb001g004080.635,1,0,0,0,0,0,1,0,0,0,0,0,0
3381.casb001g004080.635,0,1,1,1,1,1,0,1,0,0,1,0,0
3381.casb001g004350.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g004370.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g004490.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g004500.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g004540.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g004570.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g004690.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g004730.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g004770.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g004830.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g004910.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g005160.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g005300.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g005440.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g005540.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g005760.635,0,0,1,0,1,0,1,1,0,1,1,0,0
3381.casb001g005830.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g005960.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g005970.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g006020.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g006120.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g006260.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g006350.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g006360.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g006370.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g006420.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g006470.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g006510.635,0,0,0,1,0,0,0,0,0,0,1,1,1
3381.casb001g006530.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g006830.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g007080.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g007090.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g007400.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g007640.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g007690.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g007790.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g008140.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g008290.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g008580.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g008650.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g008670.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g009230.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g009330.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g009410.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g009640.635,0,0,0,1,1,0,0,1,1,0,1,1,1
3381.casb001g009670.635,0,0,0,0,0,0,0,0,0,0,1,1,1
